ID	Pe_F	Pe_R	Pe_ratio	Span_F	Span_R	Span_ratio
am_0171_0068_d5_0006:100602-100615-101165-101178	20	0	0.0	13	0	0.0
am_0171_0068_d5_0006:101193-101205-101634-101646	40	0	0.0	28	0	0.0
am_0171_0068_d5_0006:102667-102680-103186-103199	26	0	0.0	11	0	0.0
am_0171_0068_d5_0006:103421-103432-104073-104084	24	0	0.0	15	0	0.0
am_0171_0068_d5_0006:12727-12740-13177-13190	60	0	0.0	33	0	0.0
am_0171_0068_d5_0006:16116-16127-16305-16316	52	0	0.0	27	0	0.0
am_0171_0068_d5_0006:18323-18336-18446-18459	46	0	0.0	35	0	0.0
am_0171_0068_d5_0006:27937-27949-28229-28241	76	0	0.0	41	0	0.0
am_0171_0068_d5_0006:367-403-582-618	30	0	0.0	14	0	0.0
am_0171_0068_d5_0006:44847-44858-45019-45030	34	0	0.0	23	0	0.0
am_0171_0068_d5_0006:46779-46792-47168-47181	26	0	0.0	17	0	0.0
am_0171_0068_d5_0006:48856-48867-49449-49460	52	0	0.0	29	0	0.0
am_0171_0068_d5_0006:5104-5118-5265-5279	42	0	0.0	29	0	0.0
am_0171_0068_d5_0006:5454-5465-5557-5568	28	0	0.0	16	0	0.0
am_0171_0068_d5_0006:58427-58438-58908-58919	40	0	0.0	24	0	0.0
am_0171_0068_d5_0006:60400-60411-60877-60888	66	0	0.0	48	0	0.0
am_0171_0068_d5_0006:61303-61314-61856-61867	48	0	0.0	32	0	0.0
am_0171_0068_d5_0006:63875-63889-64338-64352	52	0	0.0	35	0	0.0
am_0171_0068_d5_0006:73249-73262-73635-73648	6	0	0.0	5	0	0.0
am_0171_0068_d5_0006:73995-74006-74635-74646	38	0	0.0	25	0	0.0
am_0171_0068_d5_0006:81079-81105-81368-81394	30	26	0.46	19	14	0.42
am_0171_0068_d5_0006:90069-90082-90630-90643	42	0	0.0	25	0	0.0
am_0171_0068_d5_0006:91439-91452-91770-91783	56	0	0.0	35	0	0.0
am_0171_0068_d5_0006:95561-95572-96136-96147	40	0	0.0	29	0	0.0
am_0171_0068_d5_0006:109167-109180-109678-109691	0	0	NA	0	0	NA
am_0171_0068_d5_0006:11972-11985-12073-12086	0	0	NA	0	0	NA
am_0171_0068_d5_0006:25428-25441-26011-26024	0	0	NA	0	0	NA
am_0171_0068_d5_0006:33565-33578-33630-33643	0	0	NA	0	0	NA
am_0171_0068_d5_0006:50327-50340-50556-50569	0	0	NA	0	0	NA
am_0171_0068_d5_0006:55225-55238-55455-55468	0	0	NA	0	0	NA
am_0171_0068_d5_0006:57082-57095-57768-57781	0	0	NA	0	0	NA
